id_code,experiment,plate,well,sirna,group
HEPG2-01_1_G03,HEPG2-01,1,G03,48,1
HEPG2-01_1_G04,HEPG2-01,1,G04,1062,1
HEPG2-01_1_G05,HEPG2-01,1,G05,884,1
HEPG2-01_1_G06,HEPG2-01,1,G06,825,1
HEPG2-01_1_G07,HEPG2-01,1,G07,798,1
HEPG2-01_1_G08,HEPG2-01,1,G08,914,1
HEPG2-01_1_G09,HEPG2-01,1,G09,1025,1
HEPG2-01_1_G10,HEPG2-01,1,G10,624,1
HEPG2-01_1_G11,HEPG2-01,1,G11,939,1
HEPG2-01_1_G12,HEPG2-01,1,G12,938,1
HEPG2-01_1_G13,HEPG2-01,1,G13,88,1
HEPG2-01_1_G14,HEPG2-01,1,G14,1096,1
HEPG2-01_1_G15,HEPG2-01,1,G15,46,1
HEPG2-01_1_G16,HEPG2-01,1,G16,417,1
HEPG2-01_1_G17,HEPG2-01,1,G17,910,1
HEPG2-01_1_G18,HEPG2-01,1,G18,268,1
HEPG2-01_1_G19,HEPG2-01,1,G19,744,1
HEPG2-01_1_G20,HEPG2-01,1,G20,1006,1
HEPG2-01_1_G21,HEPG2-01,1,G21,606,1
HEPG2-01_1_G22,HEPG2-01,1,G22,172,1
HEPG2-01_1_G23,HEPG2-01,1,G23,506,1
HEPG2-01_1_H02,HEPG2-01,1,H02,760,1
HEPG2-01_1_H04,HEPG2-01,1,H04,1013,1
HEPG2-01_1_H05,HEPG2-01,1,H05,77,1
HEPG2-01_1_H06,HEPG2-01,1,H06,1101,1
HEPG2-01_1_H08,HEPG2-01,1,H08,56,1
HEPG2-01_1_H09,HEPG2-01,1,H09,699,1
HEPG2-01_1_H10,HEPG2-01,1,H10,1065,1
HEPG2-01_1_H12,HEPG2-01,1,H12,847,1
HEPG2-01_1_H13,HEPG2-01,1,H13,348,1
HEPG2-01_1_H14,HEPG2-01,1,H14,1008,1
HEPG2-01_1_H16,HEPG2-01,1,H16,845,1
HEPG2-01_1_H17,HEPG2-01,1,H17,102,1
HEPG2-01_1_H18,HEPG2-01,1,H18,3,1
HEPG2-01_1_H20,HEPG2-01,1,H20,543,1
HEPG2-01_1_H21,HEPG2-01,1,H21,734,1
HEPG2-01_1_H23,HEPG2-01,1,H23,897,1
HEPG2-01_1_I02,HEPG2-01,1,I02,626,1
HEPG2-01_1_I03,HEPG2-01,1,I03,192,1
HEPG2-01_1_I04,HEPG2-01,1,I04,112,1
HEPG2-01_1_I05,HEPG2-01,1,I05,489,1
HEPG2-01_1_I06,HEPG2-01,1,I06,1027,1
HEPG2-01_1_I07,HEPG2-01,1,I07,195,1
HEPG2-01_1_I08,HEPG2-01,1,I08,868,1
HEPG2-01_1_I09,HEPG2-01,1,I09,59,1
HEPG2-01_1_I10,HEPG2-01,1,I10,689,1
HEPG2-01_1_I11,HEPG2-01,1,I11,126,1
HEPG2-01_1_I12,HEPG2-01,1,I12,26,1
HEPG2-01_1_I13,HEPG2-01,1,I13,1039,1
HEPG2-01_1_I14,HEPG2-01,1,I14,295,1
HEPG2-01_1_I15,HEPG2-01,1,I15,258,1
HEPG2-01_1_I16,HEPG2-01,1,I16,301,1
HEPG2-01_1_I17,HEPG2-01,1,I17,891,1
HEPG2-01_1_I18,HEPG2-01,1,I18,372,1
HEPG2-01_1_I19,HEPG2-01,1,I19,566,1
HEPG2-01_1_I20,HEPG2-01,1,I20,764,1
HEPG2-01_1_I21,HEPG2-01,1,I21,133,1
HEPG2-01_1_I22,HEPG2-01,1,I22,890,1
HEPG2-01_1_I23,HEPG2-01,1,I23,806,1
HEPG2-01_1_J02,HEPG2-01,1,J02,309,1
HEPG2-01_1_J04,HEPG2-01,1,J04,811,1
HEPG2-01_1_J05,HEPG2-01,1,J05,1106,1
HEPG2-01_1_J06,HEPG2-01,1,J06,105,1
HEPG2-01_1_J08,HEPG2-01,1,J08,810,1
HEPG2-01_1_J09,HEPG2-01,1,J09,532,1
HEPG2-01_1_J10,HEPG2-01,1,J10,1076,1
HEPG2-01_1_J12,HEPG2-01,1,J12,676,1
HEPG2-01_1_J13,HEPG2-01,1,J13,889,1
HEPG2-01_1_J14,HEPG2-01,1,J14,388,1
HEPG2-01_1_J16,HEPG2-01,1,J16,94,1
HEPG2-01_1_J17,HEPG2-01,1,J17,287,1
HEPG2-01_1_J18,HEPG2-01,1,J18,605,1
HEPG2-01_1_J20,HEPG2-01,1,J20,411,1
HEPG2-01_1_J21,HEPG2-01,1,J21,431,1
HEPG2-01_1_J23,HEPG2-01,1,J23,565,1
HEPG2-01_1_K02,HEPG2-01,1,K02,881,1
HEPG2-01_1_K03,HEPG2-01,1,K03,256,1
HEPG2-01_1_K04,HEPG2-01,1,K04,281,1
HEPG2-01_1_K05,HEPG2-01,1,K05,181,1
HEPG2-01_1_K06,HEPG2-01,1,K06,582,1
HEPG2-01_1_K07,HEPG2-01,1,K07,559,1
HEPG2-01_1_K08,HEPG2-01,1,K08,853,1
HEPG2-01_1_K09,HEPG2-01,1,K09,797,1
HEPG2-01_1_K10,HEPG2-01,1,K10,1041,1
HEPG2-01_1_K11,HEPG2-01,1,K11,224,1
HEPG2-01_1_K12,HEPG2-01,1,K12,765,1
HEPG2-01_1_K13,HEPG2-01,1,K13,481,1
HEPG2-01_1_K14,HEPG2-01,1,K14,89,1
HEPG2-01_1_K15,HEPG2-01,1,K15,366,1
HEPG2-01_1_K16,HEPG2-01,1,K16,945,1
HEPG2-01_1_K17,HEPG2-01,1,K17,242,1
HEPG2-01_1_K18,HEPG2-01,1,K18,692,1
HEPG2-01_1_K19,HEPG2-01,1,K19,399,1
HEPG2-01_1_K20,HEPG2-01,1,K20,660,1
HEPG2-01_1_K21,HEPG2-01,1,K21,541,1
HEPG2-01_1_K22,HEPG2-01,1,K22,320,1
HEPG2-01_1_K23,HEPG2-01,1,K23,398,1
HEPG2-01_1_L02,HEPG2-01,1,L02,673,1
HEPG2-01_1_L03,HEPG2-01,1,L03,508,1
HEPG2-01_1_L04,HEPG2-01,1,L04,877,1
HEPG2-01_1_L05,HEPG2-01,1,L05,222,1
HEPG2-01_1_L06,HEPG2-01,1,L06,1067,1
HEPG2-01_1_L07,HEPG2-01,1,L07,392,1
HEPG2-01_1_L08,HEPG2-01,1,L08,312,1
HEPG2-01_1_L09,HEPG2-01,1,L09,442,1
HEPG2-01_1_L10,HEPG2-01,1,L10,556,1
HEPG2-01_1_L11,HEPG2-01,1,L11,959,1
HEPG2-01_1_L12,HEPG2-01,1,L12,775,1
HEPG2-01_1_L13,HEPG2-01,1,L13,786,1
HEPG2-01_1_L14,HEPG2-01,1,L14,274,1
HEPG2-01_1_L15,HEPG2-01,1,L15,598,1
HEPG2-01_1_L16,HEPG2-01,1,L16,1104,1
HEPG2-01_1_L17,HEPG2-01,1,L17,557,1
HEPG2-01_1_L18,HEPG2-01,1,L18,742,1
HEPG2-01_1_L19,HEPG2-01,1,L19,703,1
HEPG2-01_1_L20,HEPG2-01,1,L20,1015,1
HEPG2-01_1_L21,HEPG2-01,1,L21,360,1
HEPG2-01_1_L22,HEPG2-01,1,L22,40,1
HEPG2-01_1_L23,HEPG2-01,1,L23,339,1
HEPG2-01_1_M02,HEPG2-01,1,M02,238,1
HEPG2-01_1_M04,HEPG2-01,1,M04,687,1
HEPG2-01_1_M05,HEPG2-01,1,M05,1102,1
HEPG2-01_1_M06,HEPG2-01,1,M06,346,1
HEPG2-01_1_M08,HEPG2-01,1,M08,147,1
HEPG2-01_1_M09,HEPG2-01,1,M09,613,1
HEPG2-01_1_M10,HEPG2-01,1,M10,277,1
HEPG2-01_1_M12,HEPG2-01,1,M12,704,1
HEPG2-01_1_M13,HEPG2-01,1,M13,497,1
HEPG2-01_1_M14,HEPG2-01,1,M14,1,1
HEPG2-01_1_M16,HEPG2-01,1,M16,33,1
HEPG2-01_1_M17,HEPG2-01,1,M17,352,1
HEPG2-01_1_M18,HEPG2-01,1,M18,972,1
HEPG2-01_1_M20,HEPG2-01,1,M20,647,1
HEPG2-01_1_M21,HEPG2-01,1,M21,715,1
HEPG2-01_1_M23,HEPG2-01,1,M23,974,1
HEPG2-01_1_N02,HEPG2-01,1,N02,221,1
HEPG2-01_1_N03,HEPG2-01,1,N03,482,1
HEPG2-01_1_N04,HEPG2-01,1,N04,793,1
HEPG2-01_1_N05,HEPG2-01,1,N05,705,1
HEPG2-01_1_N06,HEPG2-01,1,N06,572,1
HEPG2-01_1_N07,HEPG2-01,1,N07,296,1
HEPG2-01_1_N08,HEPG2-01,1,N08,109,1
HEPG2-01_1_N09,HEPG2-01,1,N09,981,1
HEPG2-01_1_N10,HEPG2-01,1,N10,500,1
HEPG2-01_1_N11,HEPG2-01,1,N11,982,1
HEPG2-01_1_N12,HEPG2-01,1,N12,962,1
HEPG2-01_1_N13,HEPG2-01,1,N13,986,1
HEPG2-01_1_N14,HEPG2-01,1,N14,471,1
HEPG2-01_1_N15,HEPG2-01,1,N15,514,1
HEPG2-01_1_N16,HEPG2-01,1,N16,439,1
HEPG2-01_1_N17,HEPG2-01,1,N17,293,1
HEPG2-01_1_N18,HEPG2-01,1,N18,158,1
HEPG2-01_1_N19,HEPG2-01,1,N19,983,1
HEPG2-01_1_N20,HEPG2-01,1,N20,831,1
HEPG2-01_1_N21,HEPG2-01,1,N21,875,1
HEPG2-01_1_N22,HEPG2-01,1,N22,302,1
HEPG2-01_1_N23,HEPG2-01,1,N23,618,1
HEPG2-01_1_O02,HEPG2-01,1,O02,620,1
HEPG2-01_1_O03,HEPG2-01,1,O03,657,1
HEPG2-01_1_O04,HEPG2-01,1,O04,505,1
HEPG2-01_1_O05,HEPG2-01,1,O05,1066,1
HEPG2-01_1_O06,HEPG2-01,1,O06,136,1
HEPG2-01_1_O07,HEPG2-01,1,O07,395,1
HEPG2-01_1_O08,HEPG2-01,1,O08,341,1
HEPG2-01_1_O09,HEPG2-01,1,O09,313,1
HEPG2-01_1_O10,HEPG2-01,1,O10,585,1
HEPG2-01_1_O11,HEPG2-01,1,O11,588,1
HEPG2-01_1_O12,HEPG2-01,1,O12,55,1
HEPG2-01_1_O13,HEPG2-01,1,O13,361,1
HEPG2-01_1_O14,HEPG2-01,1,O14,373,1
HEPG2-01_1_O15,HEPG2-01,1,O15,445,1
HEPG2-01_1_O16,HEPG2-01,1,O16,324,1
HEPG2-01_1_O17,HEPG2-01,1,O17,308,1
HEPG2-01_1_O19,HEPG2-01,1,O19,743,1
HEPG2-01_1_O20,HEPG2-01,1,O20,622,1
HEPG2-01_1_O21,HEPG2-01,1,O21,266,1
HEPG2-01_1_O22,HEPG2-01,1,O22,770,1
HEPG2-01_1_O23,HEPG2-01,1,O23,607,1
HEPG2-01_2_B03,HEPG2-01,2,B03,95,2
HEPG2-01_2_B04,HEPG2-01,2,B04,724,2
HEPG2-01_2_B05,HEPG2-01,2,B05,739,2
HEPG2-01_2_B06,HEPG2-01,2,B06,893,2
HEPG2-01_2_B07,HEPG2-01,2,B07,536,2
HEPG2-01_2_B08,HEPG2-01,2,B08,966,2
HEPG2-01_2_B09,HEPG2-01,2,B09,194,2
HEPG2-01_2_B10,HEPG2-01,2,B10,101,2
HEPG2-01_2_B11,HEPG2-01,2,B11,996,2
HEPG2-01_2_B12,HEPG2-01,2,B12,92,2
HEPG2-01_2_B13,HEPG2-01,2,B13,2,2
HEPG2-01_2_B14,HEPG2-01,2,B14,353,2
HEPG2-01_2_B15,HEPG2-01,2,B15,752,2
HEPG2-01_2_B16,HEPG2-01,2,B16,923,2
HEPG2-01_2_B17,HEPG2-01,2,B17,517,2
HEPG2-01_2_B18,HEPG2-01,2,B18,502,2
HEPG2-01_2_B19,HEPG2-01,2,B19,41,2
HEPG2-01_2_B20,HEPG2-01,2,B20,42,2
HEPG2-01_2_B21,HEPG2-01,2,B21,957,2
HEPG2-01_2_B22,HEPG2-01,2,B22,827,2
HEPG2-01_2_B23,HEPG2-01,2,B23,717,2
HEPG2-01_2_C02,HEPG2-01,2,C02,1080,2
HEPG2-01_2_C04,HEPG2-01,2,C04,661,2
HEPG2-01_2_C05,HEPG2-01,2,C05,22,2
HEPG2-01_2_C06,HEPG2-01,2,C06,130,2
HEPG2-01_2_C08,HEPG2-01,2,C08,327,2
HEPG2-01_2_C09,HEPG2-01,2,C09,285,2
HEPG2-01_2_C10,HEPG2-01,2,C10,333,2
HEPG2-01_2_C12,HEPG2-01,2,C12,164,2
HEPG2-01_2_C13,HEPG2-01,2,C13,917,2
HEPG2-01_2_C14,HEPG2-01,2,C14,709,2
HEPG2-01_2_C16,HEPG2-01,2,C16,146,2
HEPG2-01_2_C17,HEPG2-01,2,C17,364,2
HEPG2-01_2_C18,HEPG2-01,2,C18,232,2
HEPG2-01_2_C20,HEPG2-01,2,C20,1019,2
HEPG2-01_2_C21,HEPG2-01,2,C21,965,2
HEPG2-01_2_C23,HEPG2-01,2,C23,887,2
HEPG2-01_2_D02,HEPG2-01,2,D02,423,2
HEPG2-01_2_D03,HEPG2-01,2,D03,349,2
HEPG2-01_2_D04,HEPG2-01,2,D04,131,2
HEPG2-01_2_D05,HEPG2-01,2,D05,941,2
HEPG2-01_2_D06,HEPG2-01,2,D06,539,2
HEPG2-01_2_D07,HEPG2-01,2,D07,87,2
HEPG2-01_2_D08,HEPG2-01,2,D08,305,2
HEPG2-01_2_D09,HEPG2-01,2,D09,303,2
HEPG2-01_2_D10,HEPG2-01,2,D10,196,2
HEPG2-01_2_D11,HEPG2-01,2,D11,228,2
HEPG2-01_2_D12,HEPG2-01,2,D12,263,2
HEPG2-01_2_D13,HEPG2-01,2,D13,336,2
HEPG2-01_2_D14,HEPG2-01,2,D14,153,2
HEPG2-01_2_D15,HEPG2-01,2,D15,108,2
HEPG2-01_2_D16,HEPG2-01,2,D16,393,2
HEPG2-01_2_D17,HEPG2-01,2,D17,1002,2
HEPG2-01_2_D18,HEPG2-01,2,D18,761,2
HEPG2-01_2_D19,HEPG2-01,2,D19,479,2
HEPG2-01_2_D20,HEPG2-01,2,D20,722,2
HEPG2-01_2_D21,HEPG2-01,2,D21,956,2
HEPG2-01_2_D22,HEPG2-01,2,D22,408,2
HEPG2-01_2_D23,HEPG2-01,2,D23,262,2
HEPG2-01_2_E02,HEPG2-01,2,E02,138,2
HEPG2-01_2_E03,HEPG2-01,2,E03,553,2
HEPG2-01_2_E04,HEPG2-01,2,E04,683,2
HEPG2-01_2_E05,HEPG2-01,2,E05,315,2
HEPG2-01_2_E06,HEPG2-01,2,E06,1040,2
HEPG2-01_2_E07,HEPG2-01,2,E07,747,2
HEPG2-01_2_E08,HEPG2-01,2,E08,206,2
HEPG2-01_2_E09,HEPG2-01,2,E09,787,2
HEPG2-01_2_E10,HEPG2-01,2,E10,563,2
HEPG2-01_2_E11,HEPG2-01,2,E11,63,2
HEPG2-01_2_E12,HEPG2-01,2,E12,117,2
HEPG2-01_2_E13,HEPG2-01,2,E13,409,2
HEPG2-01_2_E14,HEPG2-01,2,E14,499,2
HEPG2-01_2_E15,HEPG2-01,2,E15,25,2
HEPG2-01_2_E16,HEPG2-01,2,E16,457,2
HEPG2-01_2_E17,HEPG2-01,2,E17,783,2
HEPG2-01_2_E18,HEPG2-01,2,E18,844,2
HEPG2-01_2_E19,HEPG2-01,2,E19,952,2
HEPG2-01_2_E20,HEPG2-01,2,E20,951,2
HEPG2-01_2_E21,HEPG2-01,2,E21,694,2
HEPG2-01_2_E22,HEPG2-01,2,E22,473,2
HEPG2-01_2_E23,HEPG2-01,2,E23,475,2
HEPG2-01_2_F02,HEPG2-01,2,F02,1033,2
HEPG2-01_2_F04,HEPG2-01,2,F04,189,2
HEPG2-01_2_F05,HEPG2-01,2,F05,414,2
HEPG2-01_2_F06,HEPG2-01,2,F06,735,2
HEPG2-01_2_F08,HEPG2-01,2,F08,781,2
HEPG2-01_2_F09,HEPG2-01,2,F09,597,2
HEPG2-01_2_F10,HEPG2-01,2,F10,826,2
HEPG2-01_2_F12,HEPG2-01,2,F12,714,2
HEPG2-01_2_F13,HEPG2-01,2,F13,667,2
HEPG2-01_2_F14,HEPG2-01,2,F14,751,2
HEPG2-01_2_F16,HEPG2-01,2,F16,1044,2
HEPG2-01_2_F17,HEPG2-01,2,F17,706,2
HEPG2-01_2_F18,HEPG2-01,2,F18,462,2
HEPG2-01_2_F20,HEPG2-01,2,F20,521,2
HEPG2-01_2_F21,HEPG2-01,2,F21,650,2
HEPG2-01_2_F23,HEPG2-01,2,F23,871,2
HEPG2-01_2_G02,HEPG2-01,2,G02,207,2
HEPG2-01_2_G03,HEPG2-01,2,G03,733,2
HEPG2-01_2_G04,HEPG2-01,2,G04,1046,2
HEPG2-01_2_G05,HEPG2-01,2,G05,483,2
HEPG2-01_2_G06,HEPG2-01,2,G06,466,2
HEPG2-01_2_G07,HEPG2-01,2,G07,584,2
HEPG2-01_2_G08,HEPG2-01,2,G08,975,2
HEPG2-01_2_G09,HEPG2-01,2,G09,849,2
HEPG2-01_2_G10,HEPG2-01,2,G10,299,2
HEPG2-01_2_G11,HEPG2-01,2,G11,75,2
HEPG2-01_2_G12,HEPG2-01,2,G12,991,2
HEPG2-01_2_G13,HEPG2-01,2,G13,934,2
HEPG2-01_2_G14,HEPG2-01,2,G14,920,2
HEPG2-01_2_G15,HEPG2-01,2,G15,384,2
HEPG2-01_2_G16,HEPG2-01,2,G16,918,2
HEPG2-01_2_G17,HEPG2-01,2,G17,859,2
HEPG2-01_2_G18,HEPG2-01,2,G18,72,2
HEPG2-01_2_G19,HEPG2-01,2,G19,736,2
HEPG2-01_2_G20,HEPG2-01,2,G20,550,2
HEPG2-01_2_G21,HEPG2-01,2,G21,1032,2
HEPG2-01_2_G22,HEPG2-01,2,G22,424,2
HEPG2-01_2_G23,HEPG2-01,2,G23,1098,2
HEPG2-01_2_H02,HEPG2-01,2,H02,236,2
HEPG2-01_2_H04,HEPG2-01,2,H04,1078,2
HEPG2-01_2_H05,HEPG2-01,2,H05,1077,2
HEPG2-01_2_H06,HEPG2-01,2,H06,558,2
HEPG2-01_2_H08,HEPG2-01,2,H08,600,2
HEPG2-01_2_H09,HEPG2-01,2,H09,19,2
HEPG2-01_2_H10,HEPG2-01,2,H10,801,2
HEPG2-01_2_H12,HEPG2-01,2,H12,1043,2
HEPG2-01_2_H13,HEPG2-01,2,H13,754,2
HEPG2-01_2_H14,HEPG2-01,2,H14,640,2
HEPG2-01_2_H16,HEPG2-01,2,H16,330,2
HEPG2-01_2_H17,HEPG2-01,2,H17,804,2
HEPG2-01_2_H18,HEPG2-01,2,H18,166,2
HEPG2-01_2_H20,HEPG2-01,2,H20,905,2
HEPG2-01_2_H21,HEPG2-01,2,H21,28,2
HEPG2-01_2_H23,HEPG2-01,2,H23,729,2
HEPG2-01_2_I02,HEPG2-01,2,I02,149,2
HEPG2-01_2_I03,HEPG2-01,2,I03,342,2
HEPG2-01_2_I04,HEPG2-01,2,I04,495,2
HEPG2-01_2_I05,HEPG2-01,2,I05,601,2
HEPG2-01_2_I06,HEPG2-01,2,I06,571,2
HEPG2-01_2_I07,HEPG2-01,2,I07,903,2
HEPG2-01_2_I08,HEPG2-01,2,I08,218,2
HEPG2-01_2_I09,HEPG2-01,2,I09,351,2
HEPG2-01_2_I10,HEPG2-01,2,I10,856,2
HEPG2-01_2_I11,HEPG2-01,2,I11,404,2
HEPG2-01_2_I12,HEPG2-01,2,I12,81,2
HEPG2-01_2_I13,HEPG2-01,2,I13,1064,2
HEPG2-01_2_I14,HEPG2-01,2,I14,284,2
HEPG2-01_2_I15,HEPG2-01,2,I15,639,2
HEPG2-01_2_I16,HEPG2-01,2,I16,766,2
HEPG2-01_2_I17,HEPG2-01,2,I17,529,2
HEPG2-01_2_I18,HEPG2-01,2,I18,111,2
HEPG2-01_2_I19,HEPG2-01,2,I19,723,2
HEPG2-01_2_I20,HEPG2-01,2,I20,165,2
HEPG2-01_2_I21,HEPG2-01,2,I21,492,2
HEPG2-01_2_I22,HEPG2-01,2,I22,896,2
HEPG2-01_2_I23,HEPG2-01,2,I23,927,2
HEPG2-01_2_J02,HEPG2-01,2,J02,623,2
HEPG2-01_2_J04,HEPG2-01,2,J04,169,2
HEPG2-01_2_J05,HEPG2-01,2,J05,1070,2
HEPG2-01_2_J06,HEPG2-01,2,J06,851,2
HEPG2-01_2_J08,HEPG2-01,2,J08,1017,2
HEPG2-01_2_J09,HEPG2-01,2,J09,651,2
HEPG2-01_2_J10,HEPG2-01,2,J10,66,2
HEPG2-01_2_J12,HEPG2-01,2,J12,857,2
HEPG2-01_2_J13,HEPG2-01,2,J13,909,2
HEPG2-01_2_J14,HEPG2-01,2,J14,789,2
HEPG2-01_2_J16,HEPG2-01,2,J16,730,2
HEPG2-01_2_J17,HEPG2-01,2,J17,381,2
HEPG2-01_2_J18,HEPG2-01,2,J18,160,2
HEPG2-01_2_J20,HEPG2-01,2,J20,932,2
HEPG2-01_2_J21,HEPG2-01,2,J21,467,2
HEPG2-01_2_J23,HEPG2-01,2,J23,11,2
HEPG2-01_2_K02,HEPG2-01,2,K02,852,2
HEPG2-01_2_K03,HEPG2-01,2,K03,507,2
HEPG2-01_2_K04,HEPG2-01,2,K04,579,2
HEPG2-01_2_K05,HEPG2-01,2,K05,876,2
HEPG2-01_2_K06,HEPG2-01,2,K06,100,2
HEPG2-01_2_K07,HEPG2-01,2,K07,425,2
HEPG2-01_2_K08,HEPG2-01,2,K08,428,2
HEPG2-01_2_K09,HEPG2-01,2,K09,731,2
HEPG2-01_2_K10,HEPG2-01,2,K10,968,2
HEPG2-01_2_K11,HEPG2-01,2,K11,1052,2
HEPG2-01_2_K12,HEPG2-01,2,K12,118,2
HEPG2-01_2_K13,HEPG2-01,2,K13,60,2
HEPG2-01_2_K14,HEPG2-01,2,K14,43,2
HEPG2-01_2_K15,HEPG2-01,2,K15,219,2
